tatoeba_id	grammar_label	spanish	english	license
5800032	imp_subj_ra_irreg_poner	Me pidió que pusiera la mesa.	She asked me to set the table.	CC BY 2.0
5800033	imp_subj_ra_irreg_venir	Quería que vinieras a la fiesta.	I wanted you to come to the party.	CC BY 2.0
5800034	imp_subj_ra_irreg_venir	Si viniera Juan, estaríamos contentos.	If Juan came, we would be happy.	CC BY 2.0
5800035	imp_subj_ra_irreg_querer	Ojalá quisiera ayudar.	I wish he wanted to help.	CC BY 2.0
5800036	imp_subj_se_ar	Si hablase más despacio, lo entendería.	If he spoke more slowly, I would understand.	CC BY 2.0
5800037	imp_subj_se_ar	Esperaba que llegasen a tiempo.	He hoped they would arrive on time.	CC BY 2.0
5800038	imp_subj_se_ar	Era necesario que llamaseis antes.	It was necessary for you (pl.) to call first.	CC BY 2.0
5800039	imp_subj_se_er_ir	Si comiese menos, estaría más sano.	If he ate less, he would be healthier.	CC BY 2.0
5800040	imp_subj_se_er_ir	Quería que viviese cerca.	She wanted him to live nearby.	CC BY 2.0
5800041	imp_subj_se_er_ir	Era importante que escribiesen pronto.	It was important that they write soon.	CC BY 2.0
5800042	imp_subj_se_irreg	Si fuese posible, lo haría.	If it were possible, I would do it.	CC BY 2.0
5800043	imp_subj_se_irreg	Ojalá tuviese más suerte.	I wish I had more luck.	CC BY 2.0
5800044	imp_subj_se_irreg	Si pudiese venir, vendría.	If I could come, I would come.	CC BY 2.0
5800045	imp_subj_se_irreg	Quería que dijese la verdad.	She wanted him to tell the truth.	CC BY 2.0
5800046	imp_subj_se_irreg	Si estuviese aquí, sería mejor.	If he were here, it would be better.	CC BY 2.0
5800047	haber_subj_present	Espero que hayas llegado bien.	I hope you arrived safely.	CC BY 2.0
5800048	haber_subj_present	No creo que haya terminado ya.	I don't think he has finished yet.	CC BY 2.0
5800049	haber_subj_present	Es posible que hayan salido.	It's possible they have left.	CC BY 2.0
5800050	haber_subj_present	Me alegra que hayas venido.	I'm glad you have come.	CC BY 2.0
5800051	haber_subj_present	Cuando hayas comido, llámame.	When you have eaten, call me.	CC BY 2.0
5800052	haber_subj_present	Dudo que haya dicho eso.	I doubt he said that.	CC BY 2.0
5800053	haber_subj_present	Es importante que hayamos terminado para entonces.	It's important that we have finished by then.	CC BY 2.0
5800054	haber_subj_present	No es verdad que hayáis ganado.	It's not true that you (pl.) have won.	CC BY 2.0
5800055	haber_subj_present	Ojalá hayan llegado ya.	I hope they have already arrived.	CC BY 2.0
5800056	haber_subj_present	Es una pena que no hayas podido venir.	It's a pity you haven't been able to come.	CC BY 2.0
5800057	haber_subj_pluperfect	Si hubiera estudiado más, habría aprobado.	If I had studied more, I would have passed.	CC BY 2.0
5800058	haber_subj_pluperfect	Me alegró que hubiera venido.	I was glad he had come.	CC BY 2.0
5800059	haber_subj_pluperfect	No creía que hubieran terminado.	I didn't think they had finished.	CC BY 2.0
5800060	haber_subj_pluperfect	Si hubieras llegado antes, habrías visto.	If you had arrived earlier, you would have seen.	CC BY 2.0
5800061	haber_subj_pluperfect	Habló como si hubiera vivido allí.	He spoke as if he had lived there.	CC BY 2.0
5800062	haber_subj_pluperfect	Si lo hubiera sabido, no habría ido.	If I had known, I would not have gone.	CC BY 2.0
5800063	haber_subj_pluperfect	Era imposible que hubiera dicho eso.	It was impossible that he had said that.	CC BY 2.0
5800064	haber_subj_pluperfect	Ojalá hubiera llegado antes.	I wish he had arrived earlier.	CC BY 2.0
5800065	si_clause_type2	Si tuviera más dinero, viajaría.	If I had more money, I would travel.	CC BY 2.0
5800066	si_clause_type2	Si fuera más joven, correría más.	If I were younger, I would run more.	CC BY 2.0
5800067	si_clause_type2	Si supiera cocinar, lo haría más.	If I knew how to cook, I would do it more.	CC BY 2.0
5800068	si_clause_type2	Si pudiera elegir, viviría en el campo.	If I could choose, I would live in the countryside.	CC BY 2.0
5800069	si_clause_type2	Si estuviera cansado, dormiría.	If he were tired, he would sleep.	CC BY 2.0
5800070	si_clause_type2	Si quisiera, podría hacerlo.	If he wanted to, he could do it.	CC BY 2.0
5800071	si_clause_type2	Si viniera Juan, lo celebraríamos.	If Juan came, we would celebrate.	CC BY 2.0
5800072	si_clause_type3	Si hubiera comido menos, no estaría enfermo.	If he had eaten less, he wouldn't be sick.	CC BY 2.0
5800073	si_clause_type3	Si hubiera llegado antes, habríamos podido hablar.	If he had arrived earlier, we could have talked.	CC BY 2.0
5800074	si_clause_type3	Si lo hubiera pedido, te habría ayudado.	If you had asked for it, I would have helped you.	CC BY 2.0
5800075	si_clause_type3	Si hubiera tenido tiempo, lo habría hecho.	If I had had time, I would have done it.	CC BY 2.0
5800076	si_clause_type3	Si hubieras venido antes, habrías visto la película.	If you had come earlier, you would have seen the movie.	CC BY 2.0
5800077	si_clause_mixed	Si hubiera estudiado medicina, sería médico ahora.	If I had studied medicine, I would be a doctor now.	CC BY 2.0
5800078	si_clause_mixed	Si no hubiera nevado ayer, haría menos frío hoy.	If it hadn't snowed yesterday, it would be less cold today.	CC BY 2.0
5800079	haber_future	Para el lunes, habré terminado el proyecto.	By Monday, I will have finished the project.	CC BY 2.0
5800080	haber_future	Cuando llegues, ya habremos comido.	When you arrive, we will have already eaten.	CC BY 2.0
5800081	haber_future	Para las cinco, habrá salido.	By five o'clock, he will have left.	CC BY 2.0
5800082	haber_future	Creo que ya habrán llegado.	I think they will have already arrived.	CC BY 2.0
5800083	haber_future	Para el fin de año, habré aprendido mucho.	By the end of the year, I will have learned a lot.	CC BY 2.0
5800084	haber_future	Cuando leas esto, ya me habré ido.	When you read this, I will have already left.	CC BY 2.0
5800085	haber_future	Para cuando lleguen, habremos preparado todo.	By the time they arrive, we will have prepared everything.	CC BY 2.0
5800086	haber_conditional	Con más ayuda, habría terminado antes.	With more help, I would have finished sooner.	CC BY 2.0
5800087	haber_conditional	Si hubiera tenido tiempo, habría venido.	If I had had time, I would have come.	CC BY 2.0
5800088	haber_conditional	Habría llamado, pero no tenía tu número.	I would have called, but I didn't have your number.	CC BY 2.0
5800089	haber_conditional	Habríamos ido de no ser por la lluvia.	We would have gone if not for the rain.	CC BY 2.0
5800090	haber_conditional	Dijo que habría terminado para el martes.	He said he would have finished by Tuesday.	CC BY 2.0
5800091	haber_conditional	Sin tu ayuda, no habría podido hacerlo.	Without your help, I wouldn't have been able to do it.	CC BY 2.0
5800092	passive_ser_pp	El libro fue escrito por Cervantes.	The book was written by Cervantes.	CC BY 2.0
5800093	passive_ser_pp	La carta fue enviada ayer.	The letter was sent yesterday.	CC BY 2.0
5800094	passive_ser_pp	Los premios serán entregados mañana.	The prizes will be given out tomorrow.	CC BY 2.0
5800095	passive_ser_pp	La ciudad fue fundada en el siglo XII.	The city was founded in the 12th century.	CC BY 2.0
5800096	passive_ser_pp	El edificio fue construido por arquitectos famosos.	The building was built by famous architects.	CC BY 2.0
5800097	passive_ser_pp	La ley fue aprobada por el Parlamento.	The law was approved by Parliament.	CC BY 2.0
5800098	passive_ser_pp	Los documentos fueron firmados por el director.	The documents were signed by the director.	CC BY 2.0
5800099	passive_ser_pp	El ladrón fue detenido por la policía.	The thief was arrested by the police.	CC BY 2.0
5800100	passive_se_pattern	Se hablan cinco idiomas en esa empresa.	Five languages are spoken in that company.	CC BY 2.0
5800101	passive_se_pattern	Se venden pisos en este edificio.	Apartments are sold in this building.	CC BY 2.0
5800102	passive_se_pattern	Se construyeron tres puentes el año pasado.	Three bridges were built last year.	CC BY 2.0
5800103	passive_se_pattern	Se necesitan trabajadores cualificados.	Qualified workers are needed.	CC BY 2.0
5800104	passive_se_pattern	Se alquilan habitaciones amuebladas.	Furnished rooms are rented.	CC BY 2.0
5800105	passive_se_pattern	Se firmaron los acuerdos ayer.	The agreements were signed yesterday.	CC BY 2.0
5800106	passive_ser_estar	La puerta está cerrada.	The door is closed.	CC BY 2.0
5800107	passive_ser_estar	El trabajo está terminado.	The work is finished.	CC BY 2.0
5800108	passive_ser_estar	Los documentos están firmados.	The documents are signed.	CC BY 2.0
5800109	passive_ser_estar	La ventana estaba abierta cuando llegué.	The window was open when I arrived.	CC BY 2.0
5800110	passive_ser_estar	La mesa está puesta para la cena.	The table is set for dinner.	CC BY 2.0
5800111	passive_ser_estar	Los platos están lavados.	The dishes are washed.	CC BY 2.0
5800112	reported_speech_backshift	Dijo que estaba cansado.	He said he was tired.	CC BY 2.0
5800113	reported_speech_backshift	Me contó que había llegado tarde.	He told me that he had arrived late.	CC BY 2.0
5800114	reported_speech_backshift	Explicó que vendría al día siguiente.	He explained that he would come the following day.	CC BY 2.0
5800115	reported_speech_backshift	Dijo que había terminado el trabajo.	She said she had finished the work.	CC BY 2.0
5800116	reported_speech_backshift	Nos contó que vivía en Madrid.	He told us he lived in Madrid.	CC BY 2.0
5800117	reported_speech_backshift	Afirmó que lo sabía todo.	She claimed she knew everything.	CC BY 2.0
5800118	reported_speech_backshift	Prometió que estaría allí.	He promised he would be there.	CC BY 2.0
5800119	reported_speech_backshift	Me aseguró que había pagado.	She assured me that she had paid.	CC BY 2.0
5800120	reported_speech_imperative	Le dijo que viniera inmediatamente.	He told him to come immediately.	CC BY 2.0
5800121	reported_speech_imperative	Le pidió que le ayudara.	She asked him to help her.	CC BY 2.0
5800122	reported_speech_imperative	Le aconsejé que descansara.	I advised him to rest.	CC BY 2.0
5800123	reported_speech_imperative	Le ordenó que saliera de la sala.	He ordered her to leave the room.	CC BY 2.0
5800124	reported_speech_imperative	Me pidió que no dijera nada.	He asked me not to say anything.	CC BY 2.0
5800125	reported_speech_imperative	Le rogó que se quedara.	She begged him to stay.	CC BY 2.0
5800126	concessive_aunque	Aunque llueva, iremos al partido.	Even if it rains, we'll go to the match.	CC BY 2.0
5800127	concessive_aunque	Aunque estaba cansada, siguió trabajando.	Even though she was tired, she kept working.	CC BY 2.0
5800128	concessive_aunque	Aunque sea difícil, lo intentaré.	Even if it's difficult, I'll try.	CC BY 2.0
5800129	concessive_aunque	Aunque no me guste, tengo que hacerlo.	Even though I don't like it, I have to do it.	CC BY 2.0
5800130	concessive_por_mucho	Por mucho que estudies, no aprenderás en un día.	No matter how much you study, you won't learn in a day.	CC BY 2.0
5800131	concessive_por_mucho	Por más que lo intente, no lo consigue.	No matter how hard he tries, he can't manage it.	CC BY 2.0
5800132	concessive_a_pesar	A pesar de que estaba cansado, siguió trabajando.	Despite being tired, he kept working.	CC BY 2.0
5800133	concessive_a_pesar	A pesar de la lluvia, salimos a caminar.	Despite the rain, we went for a walk.	CC BY 2.0
5800134	causal_puesto_ya	Puesto que no tienes dinero, te presto yo.	Since you don't have money, I'll lend you some.	CC BY 2.0
5800135	causal_puesto_ya	Ya que estás aquí, ayúdame con esto.	Since you're here, help me with this.	CC BY 2.0
5800136	causal_puesto_ya	Ya que lo sabes, cuéntamelo.	Since you know it, tell me.	CC BY 2.0
5800137	causal_dado_debido	Dado que no hay más preguntas, concluimos.	Given that there are no more questions, we'll conclude.	CC BY 2.0
5800138	causal_dado_debido	Debido a la lluvia, cancelamos el partido.	Due to the rain, we cancelled the match.	CC BY 2.0
5800139	causal_dado_debido	Debido a que llegó tarde, perdió el tren.	Because he arrived late, he missed the train.	CC BY 2.0
5800140	consecutive_portanto	No estudié, por lo tanto suspendí el examen.	I didn't study, therefore I failed the exam.	CC BY 2.0
5800141	consecutive_portanto	Llegué tarde, así que me perdí el principio.	I arrived late, so I missed the beginning.	CC BY 2.0
5800142	consecutive_portanto	Habló despacio, de modo que todos le entendieron.	He spoke slowly, so that everyone understood him.	CC BY 2.0
5800143	consecutive_portanto	No vino, por consiguiente perdió la reunión.	He didn't come, consequently he missed the meeting.	CC BY 2.0
5800144	consecutive_portanto	Estudió mucho, de manera que aprobó fácilmente.	She studied a lot, so she passed easily.	CC BY 2.0
5800145	temporal_subj_en_cuanto	En cuanto llegues, llámame.	As soon as you arrive, call me.	CC BY 2.0
5800146	temporal_subj_en_cuanto	En cuanto sepa algo, te aviso.	As soon as I know something, I'll let you know.	CC BY 2.0
5800147	temporal_subj_en_cuanto	Tan pronto como hayas terminado, puedes ir.	As soon as you have finished, you can go.	CC BY 2.0
5800148	temporal_subj_en_cuanto	Tan pronto como lleguen, empezamos.	As soon as they arrive, we'll start.	CC BY 2.0
5800149	temporal_subj_cuando	Cuando hayas comido, descansa un poco.	When you have eaten, rest a little.	CC BY 2.0
5800150	temporal_subj_cuando	Cuando tengas tiempo, visítame.	When you have time, visit me.	CC BY 2.0
5800151	temporal_subj_cuando	Cuando sea mayor, seré médico.	When I am older, I will be a doctor.	CC BY 2.0
5800152	temporal_subj_hasta	Espera hasta que haya terminado.	Wait until I have finished.	CC BY 2.0
5800153	temporal_subj_hasta	No salgas hasta que yo llegue.	Don't leave until I arrive.	CC BY 2.0
5800154	temporal_subj_mientras	Mientras estés aquí, tienes que respetar las normas.	While you are here, you have to respect the rules.	CC BY 2.0
5800155	temporal_subj_mientras	Mientras vivas en mi casa, cumple las normas.	While you live in my house, follow the rules.	CC BY 2.0
5800156	cond_a_menos_que	Vendré a menos que llueva.	I'll come unless it rains.	CC BY 2.0
5800157	cond_a_menos_que	Lo haré a menos que me digas que no.	I'll do it unless you tell me not to.	CC BY 2.0
5800158	cond_con_tal	Puedes ir con tal de que vuelvas pronto.	You can go as long as you come back soon.	CC BY 2.0
5800159	cond_con_tal	Te dejo el coche con tal de que conduzcas con cuidado.	I'll lend you the car as long as you drive carefully.	CC BY 2.0
5800160	cond_siempre_que	Siempre que estudies, aprobarás.	As long as you study, you'll pass.	CC BY 2.0
5800161	cond_siempre_que	Siempre que haga buen tiempo, salimos a caminar.	Whenever the weather is good, we go for a walk.	CC BY 2.0
5800162	cond_en_caso	Lleva paraguas en caso de que llueva.	Take an umbrella in case it rains.	CC BY 2.0
5800163	cond_en_caso	En caso de que haya problemas, llámame.	In case there are problems, call me.	CC BY 2.0
5800164	por_advanced	Lo hizo por amor, no por dinero.	He did it for love, not for money.	CC BY 2.0
5800165	por_advanced	El libro fue escrito por un autor famoso.	The book was written by a famous author.	CC BY 2.0
5800166	por_advanced	Lo cambié por otro modelo.	I exchanged it for another model.	CC BY 2.0
5800167	por_advanced	Estudié por tres horas seguidas.	I studied for three hours straight.	CC BY 2.0
5800168	por_advanced	Pasamos por el centro de la ciudad.	We passed through the city center.	CC BY 2.0
5800169	por_advanced	Gano veinte euros por hora.	I earn twenty euros per hour.	CC BY 2.0
5800170	por_advanced	Firmé el documento por él.	I signed the document on his behalf.	CC BY 2.0
5800171	por_advanced	Te llamé tres veces por teléfono.	I called you three times by phone.	CC BY 2.0
5800172	para_advanced	Estudio para aprender, no para aprobar.	I study to learn, not to pass.	CC BY 2.0
5800173	para_advanced	Esta carta es para María.	This letter is for María.	CC BY 2.0
5800174	para_advanced	Salgo para Madrid mañana.	I'm leaving for Madrid tomorrow.	CC BY 2.0
5800175	para_advanced	Lo necesito para el lunes.	I need it by Monday.	CC BY 2.0
5800176	para_advanced	Para mí, es demasiado difícil.	For me, it's too difficult.	CC BY 2.0
5800177	para_advanced	Para ser principiante, habla muy bien.	For a beginner, he speaks very well.	CC BY 2.0
5800178	para_advanced	Trabaja para una empresa internacional.	She works for an international company.	CC BY 2.0
5800179	subj_relative_clause	Busco a alguien que sepa japonés.	I'm looking for someone who knows Japanese.	CC BY 2.0
5800180	subj_relative_clause	Necesito un piso que sea barato.	I need an apartment that is cheap.	CC BY 2.0
5800181	subj_relative_clause	¿Conoces a alguien que pueda ayudarme?	Do you know anyone who can help me?	CC BY 2.0
5800182	subj_relative_clause	Quiero un trabajo que me guste.	I want a job that I like.	CC BY 2.0
5800183	subj_relative_clause	Busco un hotel que tenga piscina.	I'm looking for a hotel that has a pool.	CC BY 2.0
5800184	subj_relative_clause	No hay nadie que sepa la respuesta.	There is no one who knows the answer.	CC BY 2.0
5800185	subj_relative_clause	¿Hay alguien que hable inglés aquí?	Is there anyone who speaks English here?	CC BY 2.0
5800186	imp_subj_ra_ar	Si hablaras más despacio, te entendería mejor.	If you spoke more slowly, I would understand you better.	CC BY 2.0
5800187	imp_subj_ra_ar	Era necesario que descansaras.	It was necessary for you to rest.	CC BY 2.0
5800188	imp_subj_ra_ar	Esperaba que trabajaras más.	She hoped you would work more.	CC BY 2.0
5800189	imp_subj_ra_er_ir	Si aprendieras más, encontrarías trabajo.	If you learned more, you would find work.	CC BY 2.0
5800190	imp_subj_ra_er_ir	Necesitaba que salieras pronto.	She needed you to leave soon.	CC BY 2.0
5800191	imp_subj_ra_irreg_ser_ir	Ojalá fuera posible visitarte.	I wish it were possible to visit you.	CC BY 2.0
5800192	imp_subj_ra_irreg_ser_ir	Si fueras más cuidadoso, no habrías tenido el accidente.	If you were more careful, you wouldn't have had the accident.	CC BY 2.0
5800193	imp_subj_ra_irreg_tener	Si tuviéramos más tiempo, haríamos más.	If we had more time, we would do more.	CC BY 2.0
5800194	imp_subj_ra_irreg_hacer	Si hicieras ejercicio, te sentirías mejor.	If you exercised, you would feel better.	CC BY 2.0
5800195	imp_subj_ra_irreg_estar	Si estuviéramos allí, podríamos ayudar.	If we were there, we could help.	CC BY 2.0
5800196	imp_subj_ra_irreg_decir	Si dijeran la verdad, todo sería más fácil.	If they told the truth, everything would be easier.	CC BY 2.0
5800197	imp_subj_ra_irreg_poder	Ojalá pudiéramos quedarnos más tiempo.	I wish we could stay longer.	CC BY 2.0
5800198	imp_subj_ra_irreg_saber	Si supiéramos la solución, la diríamos.	If we knew the solution, we would say it.	CC BY 2.0
5800199	haber_subj_present	Espero que haya llegado a tiempo.	I hope she arrived on time.	CC BY 2.0
5800200	haber_subj_present	No creo que hayamos cometido un error.	I don't think we have made a mistake.	CC BY 2.0
5800201	haber_subj_pluperfect	Si hubieran llegado antes, habrían visto todo.	If they had arrived earlier, they would have seen everything.	CC BY 2.0
5800202	haber_subj_pluperfect	Lamentó que hubiera perdido la oportunidad.	She regretted that he had missed the opportunity.	CC BY 2.0
5800203	si_clause_type2	Si hiciera sol, iríamos a la playa.	If it were sunny, we would go to the beach.	CC BY 2.0
5800204	si_clause_type2	Si hablaras con él, lo entenderías.	If you talked to him, you would understand.	CC BY 2.0
5800205	si_clause_type3	Si hubiera pedido ayuda, no habría fracasado.	If he had asked for help, he would not have failed.	CC BY 2.0
5800206	si_clause_type3	Si hubieras esperado, habrías podido venir.	If you had waited, you would have been able to come.	CC BY 2.0
5800207	haber_future	Para el viernes, habrás recibido la respuesta.	By Friday, you will have received the answer.	CC BY 2.0
5800208	haber_future	Cuando termines, yo ya me habré marchado.	When you finish, I will have already left.	CC BY 2.0
5800209	haber_conditional	Habría llamado antes, pero no sabía tu número.	I would have called earlier, but I didn't know your number.	CC BY 2.0
5800210	haber_conditional	Sin su apoyo, no habría tenido éxito.	Without his support, I would not have succeeded.	CC BY 2.0
5800211	passive_ser_pp	La novela fue traducida a veinte idiomas.	The novel was translated into twenty languages.	CC BY 2.0
5800212	passive_ser_pp	El problema fue resuelto por los ingenieros.	The problem was solved by the engineers.	CC BY 2.0
5800213	passive_se_pattern	Se ofrecen clases de español los martes.	Spanish classes are offered on Tuesdays.	CC BY 2.0
5800214	passive_se_pattern	Se realizaron varios experimentos.	Several experiments were carried out.	CC BY 2.0
5800215	passive_ser_estar	El contrato está firmado.	The contract is signed.	CC BY 2.0
5800216	passive_ser_estar	Los libros están ordenados en la estantería.	The books are arranged on the shelf.	CC BY 2.0
5800217	reported_speech_backshift	Dijo que no podía venir esa tarde.	She said she couldn't come that afternoon.	CC BY 2.0
5800218	reported_speech_backshift	Me contó que había conocido a alguien interesante.	He told me he had met someone interesting.	CC BY 2.0
5800219	reported_speech_imperative	Le dijo que se sentara.	She told him to sit down.	CC BY 2.0
5800220	reported_speech_imperative	Le pidió que hablara más despacio.	She asked him to speak more slowly.	CC BY 2.0
5800221	concessive_aunque	Aunque no entiendas todo, sigue intentando.	Even if you don't understand everything, keep trying.	CC BY 2.0
5800222	causal_puesto_ya	Puesto que ya son las diez, debemos irnos.	Since it's already ten o'clock, we should go.	CC BY 2.0
5800223	consecutive_portanto	No tenía dinero, así que no pudo comprar nada.	He had no money, so he couldn't buy anything.	CC BY 2.0
5800224	temporal_subj_en_cuanto	En cuanto termine, te mando el informe.	As soon as I finish, I'll send you the report.	CC BY 2.0
5800225	cond_a_menos_que	Saldré a menos que me lo impidan.	I'll leave unless they prevent me.	CC BY 2.0
