tatoeba_id	grammar_label	spanish	english	license
3093095	preterite_er_leer	Leí el libro.	I read the book.	CC BY 2.0
3093096	preterite_er_leer	Tom leyó el periódico.	Tom read the newspaper.	CC BY 2.0
2271066	preterite_er_entender	No entendí nada.	I didn't understand anything.	CC BY 2.0
4543188	preterite_ir_vivir	Viví en Madrid.	I lived in Madrid.	CC BY 2.0
4543189	preterite_ir_vivir	Viviste en España.	You lived in Spain.	CC BY 2.0
3093098	preterite_ir_salir	Salí tarde.	I went out late.	CC BY 2.0
3093099	preterite_ir_salir	Tom salió a las ocho.	Tom went out at eight.	CC BY 2.0
5569104	preterite_ir_escribir	Escribí una carta.	I wrote a letter.	CC BY 2.0
4543191	preterite_ir_abrir	Abrí la puerta.	I opened the door.	CC BY 2.0
2399826	preterite_ir_ser	Fui a la tienda.	I went to the store.	CC BY 2.0
1636095	preterite_ir_ser	Fui al médico.	I went to the doctor.	CC BY 2.0
3093101	preterite_ir_ser	Fuiste al cine ayer.	You went to the cinema yesterday.	CC BY 2.0
1503781	preterite_ir_ser	¿Fuiste a la fiesta?	Did you go to the party?	CC BY 2.0
4499025	preterite_ir_ser	Fue un buen día.	It was a good day.	CC BY 2.0
3093103	preterite_ir_ser	Fuimos al parque.	We went to the park.	CC BY 2.0
3093104	preterite_ir_ser	Fueron a la playa.	They went to the beach.	CC BY 2.0
4499027	preterite_estar	Estuve en casa.	I was at home.	CC BY 2.0
4499028	preterite_estar	Estuviste muy callado.	You were very quiet.	CC BY 2.0
4499029	preterite_estar	Estuvo enfermo.	He was sick.	CC BY 2.0
4499030	preterite_estar	Estuvimos juntos.	We were together.	CC BY 2.0
4499031	preterite_estar	Estuvieron aquí.	They were here.	CC BY 2.0
3093108	preterite_tener	Tuve un accidente.	I had an accident.	CC BY 2.0
3093109	preterite_tener	Tuviste suerte.	You were lucky.	CC BY 2.0
3093110	preterite_tener	Tuvo un problema.	He had a problem.	CC BY 2.0
3093111	preterite_tener	Tuvimos que esperar.	We had to wait.	CC BY 2.0
3093112	preterite_hacer	Hice los deberes.	I did my homework.	CC BY 2.0
3093113	preterite_hacer	¿Qué hiciste ayer?	What did you do yesterday?	CC BY 2.0
3093114	preterite_hacer	Hizo frío ayer.	It was cold yesterday.	CC BY 2.0
3093115	preterite_hacer	Hicimos una fiesta.	We had a party.	CC BY 2.0
3093116	preterite_hacer	Hicieron un viaje.	They went on a trip.	CC BY 2.0
3093117	preterite_decir	Lo dije claramente.	I said it clearly.	CC BY 2.0
3093118	preterite_decir	¿Qué dijiste?	What did you say?	CC BY 2.0
3093119	preterite_decir	Dijo que sí.	He said yes.	CC BY 2.0
3093120	preterite_decir	Dijimos la verdad.	We told the truth.	CC BY 2.0
3093121	preterite_decir	Dijeron que no.	They said no.	CC BY 2.0
1392019	preterite_ver	Vi una película.	I watched a movie.	CC BY 2.0
3093123	preterite_ver	¿Viste eso?	Did you see that?	CC BY 2.0
3093124	preterite_ver	Lo vio todo.	He saw everything.	CC BY 2.0
3093125	preterite_ver	Vimos el partido.	We watched the game.	CC BY 2.0
3093126	preterite_ver	Vieron el accidente.	They saw the accident.	CC BY 2.0
3093127	preterite_dar	Me dio un regalo.	He gave me a gift.	CC BY 2.0
3093128	preterite_dar	Diste una buena respuesta.	You gave a good answer.	CC BY 2.0
3093129	preterite_dar	Le di el libro.	I gave him the book.	CC BY 2.0
3093130	preterite_dar	Dimos una vuelta.	We took a walk.	CC BY 2.0
3093131	preterite_poder	No pude dormir.	I couldn't sleep.	CC BY 2.0
3093132	preterite_poder	¿Pudiste terminarlo?	Could you finish it?	CC BY 2.0
3093133	preterite_poder	Pudo abrir la puerta.	He could open the door.	CC BY 2.0
3093134	preterite_poner	Puse la mesa.	I set the table.	CC BY 2.0
3093135	preterite_poner	Pusiste tu abrigo ahí.	You put your coat there.	CC BY 2.0
3093136	preterite_poner	Puso el libro en la mesa.	He put the book on the table.	CC BY 2.0
3093137	preterite_venir	Vine a las ocho.	I came at eight.	CC BY 2.0
3093138	preterite_venir	¿Por qué viniste tarde?	Why did you come late?	CC BY 2.0
3093139	preterite_venir	Vino a vernos.	She came to see us.	CC BY 2.0
3093140	preterite_venir	Vinimos juntos.	We came together.	CC BY 2.0
3093141	preterite_querer	Quise llamarte.	I wanted to call you.	CC BY 2.0
3093142	preterite_querer	Quisiste ayudarme.	You wanted to help me.	CC BY 2.0
3093143	preterite_saber	Lo supe ayer.	I found out yesterday.	CC BY 2.0
3093144	preterite_saber	Supiste la verdad.	You found out the truth.	CC BY 2.0
4499033	preterite_time_expr	Ayer fui al parque.	Yesterday I went to the park.	CC BY 2.0
4499034	preterite_time_expr	Anteayer llegó María.	The day before yesterday María arrived.	CC BY 2.0
4499035	preterite_time_expr	La semana pasada trabajé mucho.	Last week I worked a lot.	CC BY 2.0
4499036	preterite_time_expr	El año pasado viajé a España.	Last year I traveled to Spain.	CC BY 2.0
4499037	preterite_time_expr	Hace dos años compré esta casa.	Two years ago I bought this house.	CC BY 2.0
4499038	preterite_time_expr	Hace tres días llegó.	He arrived three days ago.	CC BY 2.0
4499039	imperfect_ar_hablar	Hablaba con mi amigo.	I was talking with my friend.	CC BY 2.0
4499040	imperfect_ar_hablar	Hablabas muy rápido.	You were speaking very fast.	CC BY 2.0
4499041	imperfect_ar_hablar	Hablaba mucho.	He talked a lot.	CC BY 2.0
4499042	imperfect_ar_hablar	Hablábamos todos los días.	We talked every day.	CC BY 2.0
4499043	imperfect_ar_hablar	Hablaban en voz baja.	They were speaking softly.	CC BY 2.0
4499044	imperfect_ar_trabajar	Trabajaba mucho.	I worked a lot (used to).	CC BY 2.0
4499045	imperfect_ar_trabajar	Trabajabas en Madrid.	You used to work in Madrid.	CC BY 2.0
4499046	imperfect_ar_vivir	Vivía en París.	I was living in Paris.	CC BY 2.0
4499047	imperfect_ar_vivir	Vivías cerca del parque.	You lived near the park.	CC BY 2.0
4499048	imperfect_er_comer	Comía mucho de niño.	I ate a lot as a child.	CC BY 2.0
4499049	imperfect_er_comer	Comías en casa siempre.	You always ate at home.	CC BY 2.0
4499050	imperfect_er_comer	Comía con su familia.	He used to eat with his family.	CC BY 2.0
4499051	imperfect_er_beber	Bebía mucho café.	I used to drink a lot of coffee.	CC BY 2.0
4499052	imperfect_ser	Era estudiante.	I was a student.	CC BY 2.0
4499053	imperfect_ser	Eras muy simpático.	You were very friendly.	CC BY 2.0
4499054	imperfect_ser	Era muy joven.	He was very young.	CC BY 2.0
4499055	imperfect_ser	Éramos amigos.	We were friends.	CC BY 2.0
4499056	imperfect_ser	Eran muy felices.	They were very happy.	CC BY 2.0
4499057	imperfect_ir	Iba al parque cada día.	I used to go to the park every day.	CC BY 2.0
4499058	imperfect_ir	Ibas a la escuela.	You were going to school.	CC BY 2.0
4499059	imperfect_ir	Iba al médico.	He went to the doctor (regularly).	CC BY 2.0
4499060	imperfect_ir	Íbamos de vacaciones juntos.	We used to go on vacation together.	CC BY 2.0
4499061	imperfect_ir	Iban al mercado.	They used to go to the market.	CC BY 2.0
4499062	imperfect_ver	Veía mucho la tele.	I used to watch TV a lot.	CC BY 2.0
4499063	imperfect_ver	Veías ese programa siempre.	You always watched that show.	CC BY 2.0
4499064	imperfect_ver	Veía a sus amigos.	He used to see his friends.	CC BY 2.0
4499065	preterite_vs_imperfect	Cuando llegué, dormía.	When I arrived, he was sleeping.	CC BY 2.0
4499066	preterite_vs_imperfect	Ayer fui al cine porque quería ver la película.	Yesterday I went to the cinema because I wanted to see the film.	CC BY 2.0
4499067	preterite_vs_imperfect	De niño jugaba mucho. Ayer jugué también.	As a child I played a lot. Yesterday I also played.	CC BY 2.0
4499068	preterite_vs_imperfect	Era tarde cuando llegó.	It was late when he arrived.	CC BY 2.0
4499069	present_perfect_hablar	He hablado con él.	I have spoken with him.	CC BY 2.0
4499070	present_perfect_hablar	¿Has hablado con María?	Have you spoken with María?	CC BY 2.0
4499071	present_perfect_comer	Ha comido demasiado.	He has eaten too much.	CC BY 2.0
4499072	present_perfect_comer	Hemos comido ya.	We have already eaten.	CC BY 2.0
4499073	present_perfect_vivir	He vivido aquí siempre.	I have always lived here.	CC BY 2.0
4499074	present_perfect_vivir	¿Has vivido en el extranjero?	Have you lived abroad?	CC BY 2.0
4499075	present_perfect_hacer	He hecho los deberes.	I have done my homework.	CC BY 2.0
4499076	present_perfect_hacer	¿Has hecho algo hoy?	Have you done anything today?	CC BY 2.0
4499077	present_perfect_ver	He visto esa película.	I have seen that film.	CC BY 2.0
4499078	present_perfect_ver	¿Has visto a Tom?	Have you seen Tom?	CC BY 2.0
4499079	present_perfect_decir	Ha dicho que no.	He has said no.	CC BY 2.0
4499080	present_perfect_escribir	He escrito una carta.	I have written a letter.	CC BY 2.0
4499081	present_perfect_volver	Ha vuelto a casa.	He has come back home.	CC BY 2.0
4499082	present_perfect_poner	He puesto la mesa.	I have set the table.	CC BY 2.0
4499083	present_perfect_time	Hoy he ido al banco.	Today I went to the bank.	CC BY 2.0
4499084	present_perfect_time	Este año he viajado mucho.	This year I have traveled a lot.	CC BY 2.0
4499085	present_perfect_time	¿Has comido alguna vez sushi?	Have you ever eaten sushi?	CC BY 2.0
4499086	present_perfect_time	Todavía no he terminado.	I haven't finished yet.	CC BY 2.0
4499087	do_pronoun_lo	Lo veo.	I see it.	CC BY 2.0
4499088	do_pronoun_lo	¿Lo tienes?	Do you have it?	CC BY 2.0
4499089	do_pronoun_la	La veo.	I see her/it.	CC BY 2.0
4499090	do_pronoun_la	¿La conoces?	Do you know her?	CC BY 2.0
4499091	do_pronoun_los	Los compré.	I bought them.	CC BY 2.0
4499092	do_pronoun_los	¿Los tienes?	Do you have them?	CC BY 2.0
4499093	do_pronoun_las	Las vi ayer.	I saw them yesterday.	CC BY 2.0
4499094	do_pronoun_las	¿Las conoces?	Do you know them?	CC BY 2.0
4499095	do_pronoun_me	Me llamas mañana.	You call me tomorrow.	CC BY 2.0
4499096	do_pronoun_te	Te llamo ahora.	I'll call you now.	CC BY 2.0
4499097	do_pronoun_nos	Nos vieron.	They saw us.	CC BY 2.0
4499098	do_pronoun_attach	Quiero verlo.	I want to see it.	CC BY 2.0
4499099	do_pronoun_attach	Tengo que comprarlo.	I have to buy it.	CC BY 2.0
4499100	do_pronoun_attach	Voy a llamarla.	I'm going to call her.	CC BY 2.0
4499101	io_pronoun_le	Le di el libro.	I gave him the book.	CC BY 2.0
4499102	io_pronoun_le	Le mandé un correo.	I sent him an email.	CC BY 2.0
4499103	io_pronoun_les	Les dije la verdad.	I told them the truth.	CC BY 2.0
4499104	io_pronoun_les	Les pregunté la dirección.	I asked them for the address.	CC BY 2.0
4499105	io_pronoun_me	Me dieron un regalo.	They gave me a gift.	CC BY 2.0
4499106	io_pronoun_me	Me preguntó su nombre.	He asked me his name.	CC BY 2.0
4499107	io_pronoun_te	Te mandé un mensaje.	I sent you a message.	CC BY 2.0
4499108	io_pronoun_nos	Nos dijeron la verdad.	They told us the truth.	CC BY 2.0
4499109	io_pronoun_se_lo	Se lo dije.	I told him/her/them (it).	CC BY 2.0
4499110	io_pronoun_se_lo	Se lo di.	I gave it to him/her.	CC BY 2.0
4499111	reflexive_levantarse	Me levanto a las siete.	I get up at seven.	CC BY 2.0
4499112	reflexive_levantarse	¿A qué hora te levantas?	What time do you get up?	CC BY 2.0
4499113	reflexive_levantarse	Se levanta tarde.	He gets up late.	CC BY 2.0
4499114	reflexive_levantarse	Nos levantamos juntos.	We get up together.	CC BY 2.0
4499115	reflexive_acostarse	Me acuesto a las once.	I go to bed at eleven.	CC BY 2.0
4499116	reflexive_acostarse	¿A qué hora te acuestas?	What time do you go to bed?	CC BY 2.0
4499117	reflexive_acostarse	Se acuesta tarde.	He goes to bed late.	CC BY 2.0
4499118	reflexive_ducharse	Me ducho por la mañana.	I shower in the morning.	CC BY 2.0
4499119	reflexive_ducharse	¿Te duchas por la noche?	Do you shower at night?	CC BY 2.0
4499120	reflexive_ducharse	Se ducha cada día.	He showers every day.	CC BY 2.0
4499121	reflexive_vestirse	Me visto rápido.	I get dressed quickly.	CC BY 2.0
4499122	reflexive_vestirse	¿Cómo te vistes hoy?	How are you dressing today?	CC BY 2.0
4499123	reflexive_vestirse	Se viste bien.	She dresses well.	CC BY 2.0
4499124	reflexive_despertarse	Me despierto temprano.	I wake up early.	CC BY 2.0
4499125	reflexive_despertarse	¿A qué hora te despiertas?	What time do you wake up?	CC BY 2.0
4499126	reflexive_despertarse	Se despierta tarde.	He wakes up late.	CC BY 2.0
4499127	reflexive_divertirse	Me divierto mucho.	I have a lot of fun.	CC BY 2.0
4499128	reflexive_divertirse	¿Te diviertes en la fiesta?	Are you having fun at the party?	CC BY 2.0
4499129	reflexive_divertirse	Se divierte jugando.	He has fun playing.	CC BY 2.0
4499130	reflexive_sentirse	Me siento bien hoy.	I feel good today.	CC BY 2.0
4499131	reflexive_sentirse	¿Cómo te sientes?	How do you feel?	CC BY 2.0
4499132	reflexive_sentirse	Se siente mal.	He feels bad.	CC BY 2.0
4499133	present_progressive_hablar	Estoy hablando con Tom.	I am talking with Tom.	CC BY 2.0
4499134	present_progressive_hablar	Estás hablando muy rápido.	You are speaking very fast.	CC BY 2.0
4499135	present_progressive_comer	Estoy comiendo ahora.	I am eating now.	CC BY 2.0
4499136	present_progressive_comer	Está comiendo en la cocina.	He is eating in the kitchen.	CC BY 2.0
4499137	present_progressive_vivir	Estoy viviendo en Madrid.	I am living in Madrid.	CC BY 2.0
4499138	present_progressive_stem	Está durmiendo.	He is sleeping.	CC BY 2.0
4499139	present_progressive_stem	Estoy pidiendo ayuda.	I am asking for help.	CC BY 2.0
4499140	present_progressive_stem	Están leyendo.	They are reading.	CC BY 2.0
4499141	present_progressive_stem	Está diciendo la verdad.	He is telling the truth.	CC BY 2.0
4499142	comparative_mas_que	Soy más alto que tú.	I am taller than you.	CC BY 2.0
4499143	comparative_mas_que	Es más inteligente que yo.	He is smarter than me.	CC BY 2.0
4499144	comparative_mas_que	Habla más rápido que yo.	He speaks faster than me.	CC BY 2.0
4499145	comparative_menos_que	Es menos caro que el otro.	It is less expensive than the other.	CC BY 2.0
4499146	comparative_menos_que	Trabajo menos que antes.	I work less than before.	CC BY 2.0
4499147	comparative_tan_como	Es tan inteligente como tú.	He is as intelligent as you.	CC BY 2.0
4499148	comparative_tan_como	No es tan difícil como parece.	It is not as difficult as it seems.	CC BY 2.0
4499149	comparative_tan_como	Corro tan rápido como él.	I run as fast as him.	CC BY 2.0
4499150	comparative_irregular	Mi hermano es mayor que yo.	My brother is older than me.	CC BY 2.0
4499151	comparative_irregular	Es menor que su hermana.	He is younger than his sister.	CC BY 2.0
4499152	comparative_irregular	Este libro es mejor que ese.	This book is better than that one.	CC BY 2.0
4499153	comparative_irregular	El tiempo está peor que ayer.	The weather is worse than yesterday.	CC BY 2.0
4499154	superlative	Es el más inteligente de la clase.	He is the most intelligent in the class.	CC BY 2.0
4499155	superlative	María es la más alta del grupo.	María is the tallest in the group.	CC BY 2.0
4499156	superlative	Es el mejor restaurante de la ciudad.	It is the best restaurant in the city.	CC BY 2.0
4499157	superlative	Es el peor día de mi vida.	It is the worst day of my life.	CC BY 2.0
4499158	superlative	Es el mayor de los hermanos.	He is the oldest of the siblings.	CC BY 2.0
4499159	imperative_tu_hablar	Habla más despacio, por favor.	Speak more slowly, please.	CC BY 2.0
4499160	imperative_tu_comer	Come las verduras.	Eat your vegetables.	CC BY 2.0
4499161	imperative_tu_escribir	Escribe tu nombre aquí.	Write your name here.	CC BY 2.0
4499162	imperative_tu_irregular	Ven aquí.	Come here.	CC BY 2.0
4499163	imperative_tu_irregular	Ten cuidado.	Be careful.	CC BY 2.0
4499164	imperative_tu_irregular	Pon el libro en la mesa.	Put the book on the table.	CC BY 2.0
4499165	imperative_tu_irregular	Sal de aquí.	Get out of here.	CC BY 2.0
4499166	imperative_tu_irregular	Di la verdad.	Tell the truth.	CC BY 2.0
4499167	imperative_tu_irregular	Haz los deberes.	Do your homework.	CC BY 2.0
4499168	imperative_tu_irregular	Ve al mercado.	Go to the market.	CC BY 2.0
4499169	imperative_tu_irregular	Sé honesto.	Be honest.	CC BY 2.0
4499170	impersonal_se	Se habla español aquí.	Spanish is spoken here.	CC BY 2.0
4499171	impersonal_se	Se vende piso.	Apartment for sale.	CC BY 2.0
4499172	impersonal_se	Se come bien en este restaurante.	You eat well in this restaurant.	CC BY 2.0
4499173	impersonal_se	Se alquila habitación.	Room for rent.	CC BY 2.0
4499174	impersonal_se	Se venden coches.	Cars for sale.	CC BY 2.0
4499175	por_vs_para_por	Lo hago por ti.	I do it for you (on your behalf).	CC BY 2.0
4499176	por_vs_para_por	Gracias por todo.	Thank you for everything.	CC BY 2.0
4499177	por_vs_para_por	Pagué diez euros por el libro.	I paid ten euros for the book.	CC BY 2.0
4499178	por_vs_para_por	Salgo por la mañana.	I leave in the morning.	CC BY 2.0
4499179	por_vs_para_por	Por eso no vine.	That's why I didn't come.	CC BY 2.0
4499180	por_vs_para_para	Estudio para aprender.	I study in order to learn.	CC BY 2.0
4499181	por_vs_para_para	Este regalo es para ti.	This gift is for you.	CC BY 2.0
4499182	por_vs_para_para	Salgo para Madrid mañana.	I leave for Madrid tomorrow.	CC BY 2.0
4499183	por_vs_para_para	Para mí, es difícil.	For me, it is difficult.	CC BY 2.0
4499184	por_vs_para_para	Necesito esto para el lunes.	I need this by Monday.	CC BY 2.0
4499185	muy_mucho	Es muy interesante.	It is very interesting.	CC BY 2.0
4499186	muy_mucho	Habla muy bien.	He speaks very well.	CC BY 2.0
4499187	muy_mucho	Tengo mucho trabajo.	I have a lot of work.	CC BY 2.0
4499188	muy_mucho	Hay mucha gente aquí.	There are many people here.	CC BY 2.0
4499189	muy_mucho	Trabaja mucho.	He works a lot.	CC BY 2.0
4499190	ir_a_futuro	Voy a llamarte mañana.	I'm going to call you tomorrow.	CC BY 2.0
4499191	ir_a_futuro	¿Qué vas a hacer hoy?	What are you going to do today?	CC BY 2.0
4499192	ir_a_futuro	Va a llover.	It is going to rain.	CC BY 2.0
4499193	ir_a_futuro	Vamos a comer juntos.	We are going to eat together.	CC BY 2.0
4499194	ir_a_futuro	Van a salir esta noche.	They are going to go out tonight.	CC BY 2.0
