word	pos	english	register	chain_theme_id	difficulty	fun_score	explanation	source
acrimonia	noun	acrimony, bitterness	formal_administrative	1	4	7	acrimonia — acrimony, bitterness in tone or manner	PCIC C2 / RAE
acuciosidad	noun	diligence, keenness	formal_administrative	1	5	6	acuciosidad — diligence, keenness, painstaking attention	PCIC C2 / RAE
acucioso	adjective	diligent, keen, thorough	formal_administrative	1	4	6	acucioso — diligent, keen, thorough in doing something	PCIC C2 / RAE
acuñar	verb	to coin, to mint	formal_administrative	1	4	6	acuñar — to coin (money or a phrase), to mint	PCIC C2 / RAE
adagio	noun	adage, proverb	philosophical_rhetorical	2	4	7	adagio — adage, proverb, a short traditional saying	PCIC C2 / RAE
adlátere	noun	sidekick, close associate	cultural_arts	8	4	7	adlátere — sidekick, close associate, right-hand person (often pejorative)	PCIC C2 / RAE
admonición	noun	admonition, warning	formal_administrative	1	4	6	admonición — admonition, stern warning or reproof	PCIC C2 / RAE
adscribir	verb	to assign, to attach (formally)	formal_administrative	1	4	5	adscribir — to assign or attach (a person to a position or body), to ascribe	PCIC C2 / RAE
advenedizo	noun	upstart, parvenu	literary_poetic	0	4	8	advenedizo — upstart, parvenu, newcomer who seeks to rise above their station	PCIC C2 / RAE
adversidad	noun	adversity	formal_administrative	1	4	5	adversidad — adversity, a difficult or unfavorable situation	PCIC C2 / RAE
afán	noun	eagerness, zeal	literary_poetic	0	4	6	afán — eagerness, zeal, intense desire or effort	PCIC C2 / RAE
aforismo	noun	aphorism	philosophical_rhetorical	2	4	8	aforismo — aphorism, a short pithy statement of truth or principle	PCIC C2 / RAE
agasajar	verb	to lavish attention on, to fete	cultural_arts	8	4	7	agasajar — to lavish attention on, to fete, to treat with hospitality	PCIC C2 / RAE
agravante	noun	aggravating circumstance	legal_juridical	3	4	6	agravante — aggravating circumstance (that worsens a crime)	PCIC C2 / RAE
agudeza	noun	sharpness, wit, acuity	philosophical_rhetorical	2	4	7	agudeza — sharpness, wit, acuity of mind or senses	PCIC C2 / RAE
ahincado	adjective	earnest, insistent	formal_administrative	1	4	5	ahincado — earnest, insistent, done with great effort and determination	PCIC C2 / RAE
ahinco	noun	earnestness, diligence	formal_administrative	1	4	6	ahinco — earnestness, great diligence or determination	PCIC C2 / RAE
ajenjo	noun	wormwood, absinthe	literary_poetic	0	5	8	ajenjo — wormwood; also absinthe (the liquor made from it)	PCIC C2 / RAE
alabanza	noun	praise, eulogy	literary_poetic	0	4	6	alabanza — praise, eulogy, words of commendation	PCIC C2 / RAE
alambicado	adjective	overly refined, convoluted	literary_poetic	0	5	8	alambicado — overly refined, excessively subtle, convoluted in style	PCIC C2 / RAE
alarde	noun	show, display, boast	literary_poetic	0	4	7	alarde — show, display, boastful exhibition	PCIC C2 / RAE
alborozo	noun	joy, elation, rejoicing	literary_poetic	0	4	7	alborozo — joy, elation, exuberant rejoicing	PCIC C2 / RAE
alcurnia	noun	lineage, noble descent	literary_poetic	0	5	8	alcurnia — lineage, noble or distinguished descent	PCIC C2 / RAE
aleatoriedad	noun	randomness, aleatory nature	philosophical_rhetorical	2	4	6	aleatoriedad — randomness, aleatory nature, the quality of being random	PCIC C2 / RAE
alegato	noun	plea, argument, allegation	legal_juridical	3	4	7	alegato — plea, legal argument; also a passionate defense of a cause	PCIC C2 / RAE
aleve	adjective	treacherous, perfidious	literary_poetic	0	5	8	aleve — treacherous, perfidious (archaic/poetic for alevoso)	PCIC C2 / RAE
alevosía	noun	treachery, premeditation	legal_juridical	3	5	8	alevosía — treachery, premeditation (legal term for stealth in commission of a crime)	PCIC C2 / RAE
algarabía	noun	hubbub, clamor, babble	literary_poetic	0	4	7	algarabía — hubbub, clamor, unintelligible noise or chatter	PCIC C2 / RAE
alienación	noun	alienation	philosophical_rhetorical	2	4	7	alienación — alienation (philosophical/psychological sense)	PCIC C2 / RAE
aliterativo	adjective	alliterative	cultural_arts	8	5	7	aliterativo — alliterative, characterized by alliteration	PCIC C2 / RAE
almíbar	noun	syrup, sweet flattery	literary_poetic	0	4	7	almíbar — syrup; also: excessively sweet or flattering language	PCIC C2 / RAE
alopatía	noun	allopathy	specialized_scientific	4	5	6	alopatía — allopathy, conventional medicine as opposed to homeopathy	PCIC C2 / RAE
altercado	noun	altercation, dispute	formal_administrative	1	4	5	altercado — altercation, heated dispute or argument	PCIC C2 / RAE
altivez	noun	haughtiness, arrogance	literary_poetic	0	4	7	altivez — haughtiness, arrogance, loftiness of spirit	PCIC C2 / RAE
aludir	verb	to allude, to refer indirectly	philosophical_rhetorical	2	4	6	aludir — to allude, to make an indirect reference to something	PCIC C2 / RAE
aluvión	noun	flood, avalanche, alluvion	literary_poetic	0	4	7	aluvión — flood, avalanche (figurative: an aluvión of criticism); geological alluvion	PCIC C2 / RAE
ambage	noun	circumlocution, roundabout speech	philosophical_rhetorical	2	5	8	ambage — circumlocution, roundabout speech (usually plural: ambages)	PCIC C2 / RAE
ambivalencia	noun	ambivalence	psychological_abstract	6	4	6	ambivalencia — ambivalence, simultaneous conflicting feelings	PCIC C2 / RAE
amedrentar	verb	to intimidate, to frighten	formal_administrative	1	4	6	amedrentar — to intimidate, to cow, to frighten into submission	PCIC C2 / RAE
amenidad	noun	pleasantness, amenity	literary_poetic	0	4	6	amenidad — pleasantness, agreeableness; amenity (of a place or style)	PCIC C2 / RAE
amnistía	noun	amnesty	legal_juridical	3	4	7	amnistía — amnesty, official pardon for offenses against the state	PCIC C2 / RAE
ampararse	verb	to take refuge, to seek protection	legal_juridical	3	4	6	ampararse — to take refuge in, to seek protection under (a law or right)	PCIC C2 / RAE
anacronismo	noun	anachronism	cultural_arts	8	4	8	anacronismo — anachronism, something out of its proper historical time	PCIC C2 / RAE
anclado	adjective	anchored, entrenched	literary_poetic	0	4	6	anclado — anchored, entrenched, fixed in place (literal or figurative)	PCIC C2 / RAE
andamiaje	noun	scaffolding, framework	philosophical_rhetorical	2	4	7	andamiaje — scaffolding (literal); conceptual framework or structure	PCIC C2 / RAE
anejo	adjective	attached, annexed, appended	formal_administrative	1	4	5	anejo — attached, annexed, appended (as a supplementary document)	PCIC C2 / RAE
animadversión	noun	animadversion, hostility	formal_administrative	1	5	7	animadversión — animadversion, strong hostility or criticism	PCIC C2 / RAE
antaño	adverb	in days gone by, of old	archaic_rare	5	4	8	antaño — in days gone by, long ago, in former times	PCIC C2 / RAE
anteponer	verb	to place before, to give priority to	formal_administrative	1	4	5	anteponer — to place before, to give priority to	PCIC C2 / RAE
antropomorfismo	noun	anthropomorphism	philosophical_rhetorical	2	4	7	antropomorfismo — anthropomorphism, attribution of human traits to non-human things	PCIC C2 / RAE
añoranza	noun	longing, nostalgia	literary_poetic	0	4	7	añoranza — longing, nostalgia, wistful yearning	PCIC C2 / RAE
apaciguar	verb	to appease, to pacify	formal_administrative	1	4	6	apaciguar — to appease, to pacify, to calm down	PCIC C2 / RAE
aparente	adjective	apparent, seeming	philosophical_rhetorical	2	4	5	aparente — apparent, seeming (may not reflect reality)	PCIC C2 / RAE
ápice	noun	apex, iota, bit	literary_poetic	0	4	7	ápice — apex, peak; also: the slightest bit (no ceder ni un ápice)	PCIC C2 / RAE
aporía	noun	aporia, philosophical puzzle	philosophical_rhetorical	2	5	8	aporía — aporia, a philosophical puzzle or state of perplexity	PCIC C2 / RAE
apostatar	verb	to apostatize, to renounce faith	formal_administrative	1	5	7	apostatar — to apostatize, to renounce one's religion or beliefs	PCIC C2 / RAE
apoteosis	noun	apotheosis, crowning glory	literary_poetic	0	4	8	apoteosis — apotheosis, the highest or crowning point; deification	PCIC C2 / RAE
apremio	noun	urgency, compulsion	legal_juridical	3	4	6	apremio — urgency; legal compulsion, enforcement proceeding	PCIC C2 / RAE
aprobar por aclamación	verb	to pass by acclamation	formal_administrative	1	5	6	aprobar por aclamación — to pass or approve by acclamation (unanimous vocal vote)	PCIC C2 / RAE
arbitraje	noun	arbitration, arbitrage	legal_juridical	3	4	7	arbitraje — arbitration (dispute resolution); arbitrage (finance)	PCIC C2 / RAE
arcaísmo	noun	archaism	cultural_arts	8	4	7	arcaísmo — archaism, the use of an archaic word or expression	PCIC C2 / RAE
ardid	noun	stratagem, ruse	literary_poetic	0	4	8	ardid — stratagem, ruse, clever trick	PCIC C2 / RAE
arenga	noun	harangue, rousing speech	formal_administrative	1	4	7	arenga — harangue, a rousing or impassioned speech	PCIC C2 / RAE
argüir	verb	to argue, to infer	philosophical_rhetorical	2	4	6	argüir — to argue, to infer, to adduce as evidence	PCIC C2 / RAE
armonizar	verb	to harmonize	formal_administrative	1	4	5	armonizar — to harmonize, to bring into agreement or accord	PCIC C2 / RAE
arraigado	adjective	deep-rooted, ingrained	literary_poetic	0	4	6	arraigado — deep-rooted, ingrained, firmly established	PCIC C2 / RAE
arrogar	verb	to arrogate, to claim unduly	legal_juridical	3	5	7	arrogar — to arrogate, to claim or appropriate without right	PCIC C2 / RAE
arrostrar	verb	to face, to brave	literary_poetic	0	5	8	arrostrar — to face, to brave, to confront (danger or difficulty)	PCIC C2 / RAE
asaz	adverb	sufficiently, rather, quite	archaic_rare	5	5	9	asaz — sufficiently, rather, quite (archaic/poetic intensifier)	PCIC C2 / RAE
ascendencia	noun	ancestry, lineage	literary_poetic	0	4	6	ascendencia — ancestry, lineage; also: influence, ascendancy	PCIC C2 / RAE
aseveración	noun	assertion, averment	philosophical_rhetorical	2	4	6	aseveración — assertion, averment, a firm statement of something as fact	PCIC C2 / RAE
asidero	noun	handle, grip, pretext	literary_poetic	0	4	7	asidero — handle, grip; figuratively: pretext, grounds, basis	PCIC C2 / RAE
asimétrico	adjective	asymmetric	specialized_scientific	4	4	5	asimétrico — asymmetric, lacking symmetry	PCIC C2 / RAE
asir	verb	to grasp, to seize	literary_poetic	0	4	7	asir — to grasp, to seize, to take hold of	PCIC C2 / RAE
asomo	noun	hint, trace, sign	literary_poetic	0	4	7	asomo — hint, trace, slight sign (ni por asomo: not in the least)	PCIC C2 / RAE
atenuar	verb	to attenuate, to mitigate	formal_administrative	1	4	6	atenuar — to attenuate, to mitigate, to lessen the severity of	PCIC C2 / RAE
atesorar	verb	to amass, to treasure	literary_poetic	0	4	7	atesorar — to amass wealth; to treasure, to hoard	PCIC C2 / RAE
atisbar	verb	to glimpse, to peer at	literary_poetic	0	4	8	atisbar — to glimpse, to peer at cautiously, to spy	PCIC C2 / RAE
atónito	adjective	astonished, dumbfounded	literary_poetic	0	4	6	atónito — astonished, dumbfounded, thunderstruck	PCIC C2 / RAE
atrición	noun	attrition	philosophical_rhetorical	2	5	7	atrición — attrition (theological: imperfect contrition); gradual wearing down	PCIC C2 / RAE
atropello	noun	abuse, transgression, outrage	legal_juridical	3	4	7	atropello — abuse of rights, transgression, outrage; also: running over (a pedestrian)	PCIC C2 / RAE
audacia	noun	audacity, boldness	literary_poetic	0	4	7	audacia — audacity, boldness, daring	PCIC C2 / RAE
augusto	adjective	august, venerable, majestic	literary_poetic	0	4	7	augusto — august, venerable, majestic (literary/formal)	PCIC C2 / RAE
augurar	verb	to augur, to predict	literary_poetic	0	4	7	augurar — to augur, to predict, to be an omen of	PCIC C2 / RAE
augurio	noun	augury, omen	literary_poetic	0	4	8	augurio — augury, omen, portent	PCIC C2 / RAE
auspicio	noun	auspice, patronage	formal_administrative	1	4	7	auspicio — auspice, patronage, sponsorship (bajo los auspicios de: under the auspices of)	PCIC C2 / RAE
avalar	verb	to back, to guarantee	formal_administrative	1	4	6	avalar — to back, to guarantee, to endorse (formally)	PCIC C2 / RAE
avasallar	verb	to subjugate, to overwhelm	literary_poetic	0	4	8	avasallar — to subjugate, to overwhelm, to make someone a vassal	PCIC C2 / RAE
axioma	noun	axiom	philosophical_rhetorical	2	4	8	axioma — axiom, a self-evident truth requiring no proof	PCIC C2 / RAE
azaroso	adjective	hazardous, eventful	literary_poetic	0	4	7	azaroso — hazardous, risky; eventful, full of chance	PCIC C2 / RAE
balbuceo	noun	babbling, stuttering	literary_poetic	0	4	7	balbuceo — babbling, stuttering; also: the first tentative steps in a discipline	PCIC C2 / RAE
baldón	noun	insult, disgrace, slur	literary_poetic	0	5	8	baldón — insult, slur, disgrace, stain on one's honor	PCIC C2 / RAE
bamboleo	noun	swaying, tottering	literary_poetic	0	4	6	bamboleo — swaying, tottering, rocking motion	PCIC C2 / RAE
barajar	verb	to shuffle, to juggle (options)	philosophical_rhetorical	2	4	7	barajar — to shuffle (cards); to juggle or consider (various options)	PCIC C2 / RAE
basto	adjective	coarse, rough, crude	literary_poetic	0	4	6	basto — coarse, rough, crude in texture or manner	PCIC C2 / RAE
beligerante	adjective	belligerent, warring	formal_administrative	1	4	7	beligerante — belligerent, warring; aggressive in manner	PCIC C2 / RAE
bienandanza	noun	prosperity, happiness	archaic_rare	5	5	8	bienandanza — prosperity, happiness, good fortune (archaic)	PCIC C2 / RAE
bisoño	adjective	inexperienced, green, new	literary_poetic	0	4	7	bisoño — inexperienced, green, new to a job or role	PCIC C2 / RAE
blasfemar	verb	to blaspheme	formal_administrative	1	4	7	blasfemar — to blaspheme, to speak irreverently of sacred things	PCIC C2 / RAE
blasón	noun	heraldic coat of arms, honor	literary_poetic	0	5	8	blasón — heraldic coat of arms; point of honor, glory	PCIC C2 / RAE
burocracia	noun	bureaucracy	economic_political_advanced	7	4	5	burocracia — bureaucracy, administrative red tape	PCIC C2 / RAE
cabildo	noun	town council, chapter	formal_administrative	1	4	7	cabildo — town council; chapter (of a cathedral or religious institution)	PCIC C2 / RAE
caducidad	noun	expiry, obsolescence	legal_juridical	3	4	6	caducidad — expiry, obsolescence; legal lapse	PCIC C2 / RAE
calamitoso	adjective	calamitous, disastrous	literary_poetic	0	4	6	calamitoso — calamitous, disastrous, causing great misery	PCIC C2 / RAE
calar	verb	to soak, to fathom	literary_poetic	0	4	7	calar — to soak through; to fathom, to see through (someone)	PCIC C2 / RAE
calumniar	verb	to slander, to calumniate	legal_juridical	3	4	7	calumniar — to slander, to calumniate, to make false accusations	PCIC C2 / RAE
cándido	adjective	candid, naive, guileless	literary_poetic	0	4	7	cándido — candid, naive, guileless, ingenuous	PCIC C2 / RAE
canonizar	verb	to canonize	formal_administrative	1	4	6	canonizar — to canonize; to officially declare a saint; to elevate to classic status	PCIC C2 / RAE
carga probatoria	noun	burden of proof	legal_juridical	3	5	7	carga probatoria — burden of proof (legal term)	PCIC C2 / RAE
catálisis	noun	catalysis	specialized_scientific	4	5	7	catálisis — catalysis, the acceleration of a chemical reaction by a catalyst	PCIC C2 / RAE
catarsis	noun	catharsis	cultural_arts	8	4	8	catarsis — catharsis, emotional purging (theatrical or psychological)	PCIC C2 / RAE
cautelar	adjective	precautionary, provisional	legal_juridical	3	4	6	cautelar — precautionary, provisional (medida cautelar: precautionary measure)	PCIC C2 / RAE
cavar	verb	to dig, to delve into	literary_poetic	0	4	5	cavar — to dig; figuratively: to delve deeply into a subject	PCIC C2 / RAE
celeridad	noun	celerity, speed	formal_administrative	1	4	7	celeridad — celerity, speed, swiftness (formal)	PCIC C2 / RAE
censor	noun	censor	formal_administrative	1	4	6	censor — censor; also: critic, censurer	PCIC C2 / RAE
chauvinismo	noun	chauvinism	philosophical_rhetorical	2	4	7	chauvinismo — chauvinism, excessive or aggressive patriotism; also: sexist chauvinism	PCIC C2 / RAE
cinismo	noun	cynicism	philosophical_rhetorical	2	4	7	cinismo — cynicism, distrustful attitude toward human motives	PCIC C2 / RAE
circunloquio	noun	circumlocution	philosophical_rhetorical	2	4	7	circunloquio — circumlocution, the use of many words where fewer would do	PCIC C2 / RAE
cismático	adjective	schismatic	formal_administrative	1	5	7	cismático — schismatic, causing or relating to a schism	PCIC C2 / RAE
citatorio	noun	summons, citation	legal_juridical	3	4	6	citatorio — summons, citation (legal document calling to appear)	PCIC C2 / RAE
clarividente	adjective	clairvoyant, far-sighted	psychological_abstract	6	4	7	clarividente — clairvoyant; also: far-sighted, perceptive	PCIC C2 / RAE
coartada	noun	alibi	legal_juridical	3	4	8	coartada — alibi, a defense that one was elsewhere when a crime was committed	PCIC C2 / RAE
codicilo	noun	codicil	legal_juridical	3	5	7	codicilo — codicil, an addition or amendment to a will	PCIC C2 / RAE
coeternidad	noun	coeternity	philosophical_rhetorical	2	5	7	coeternidad — coeternity, the quality of being equally eternal	PCIC C2 / RAE
coexistencia	noun	coexistence	formal_administrative	1	4	5	coexistencia — coexistence, living or existing together in peace	PCIC C2 / RAE
cohecho	noun	bribery, graft	legal_juridical	3	4	8	cohecho — bribery, graft (legal term for bribing a public official)	PCIC C2 / RAE
cómputo	noun	computation, count, reckoning	formal_administrative	1	4	6	cómputo — computation, reckoning, count	PCIC C2 / RAE
concatenar	verb	to concatenate, to chain together	philosophical_rhetorical	2	4	6	concatenar — to concatenate, to link together in a chain	PCIC C2 / RAE
conciliabulo	noun	conclave, secret meeting	formal_administrative	1	4	7	conciliabulo — conclave, secret meeting (often with pejorative connotation)	PCIC C2 / RAE
concomitante	adjective	concomitant, accompanying	philosophical_rhetorical	2	5	7	concomitante — concomitant, accompanying, naturally following from	PCIC C2 / RAE
confabularse	verb	to conspire, to collude	legal_juridical	3	4	7	confabularse — to conspire, to collude in secret	PCIC C2 / RAE
confiscación	noun	confiscation	legal_juridical	3	4	6	confiscación — confiscation, seizure of property by authority	PCIC C2 / RAE
connivencia	noun	connivance, collusion	legal_juridical	3	4	7	connivencia — connivance, collusion, secret cooperation in wrongdoing	PCIC C2 / RAE
consabido	adjective	aforesaid, well-known	formal_administrative	1	4	6	consabido — aforesaid, well-known, the usual (en la consabida manera: in the usual way)	PCIC C2 / RAE
consensuar	verb	to reach consensus	formal_administrative	1	4	5	consensuar — to reach consensus on, to agree collectively	PCIC C2 / RAE
constreñir	verb	to constrain, to compel	formal_administrative	1	4	6	constreñir — to constrain, to compel, to restrict	PCIC C2 / RAE
contradicción	noun	contradiction	philosophical_rhetorical	2	4	5	contradicción — contradiction, a statement or proposition that denies another	PCIC C2 / RAE
contrafuerte	noun	buttress, counterfort	cultural_arts	8	5	7	contrafuerte — buttress (architectural support); counterfort	PCIC C2 / RAE
contravenir	verb	to contravene, to violate	legal_juridical	3	4	7	contravenir — to contravene, to violate, to act contrary to	PCIC C2 / RAE
controvertido	adjective	controversial	formal_administrative	1	4	5	controvertido — controversial, disputed	PCIC C2 / RAE
convicto	adjective	convicted	legal_juridical	3	4	6	convicto — convicted (of a crime), found guilty	PCIC C2 / RAE
coplero	noun	verse-maker, rhymster	cultural_arts	8	5	7	coplero — verse-maker, rhymster (often derogatory for a poor poet)	PCIC C2 / RAE
corroborar	verb	to corroborate	formal_administrative	1	4	6	corroborar — to corroborate, to confirm, to support with evidence	PCIC C2 / RAE
cosmovisión	noun	worldview, Weltanschauung	philosophical_rhetorical	2	4	8	cosmovisión — worldview, comprehensive conception of the world (from German Weltanschauung)	PCIC C2 / RAE
crepuscular	adjective	crepuscular, twilight	literary_poetic	0	5	8	crepuscular — crepuscular, of or relating to twilight; dim, fading	PCIC C2 / RAE
crepúsculo	noun	twilight, dusk	literary_poetic	0	4	8	crepúsculo — twilight, dusk; a period of decline	PCIC C2 / RAE
cuasi	adverb	quasi, almost	formal_administrative	1	4	6	cuasi — quasi, almost (prefix/intensifier in formal Spanish)	PCIC C2 / RAE
cualificado	adjective	qualified, skilled	formal_administrative	1	4	5	cualificado — qualified, skilled, having the required credentials	PCIC C2 / RAE
cuestionable	adjective	questionable, debatable	formal_administrative	1	4	5	cuestionable — questionable, debatable, open to doubt	PCIC C2 / RAE
culpabilidad	noun	culpability, guilt	legal_juridical	3	4	6	culpabilidad — culpability, guilt, legal blameworthiness	PCIC C2 / RAE
culteranismo	noun	Gongorism, culteranismo	cultural_arts	8	5	8	culteranismo — culteranismo, a highly ornate 17th-century Spanish literary style	PCIC C2 / RAE
dañino	adjective	harmful, damaging	formal_administrative	1	4	5	dañino — harmful, damaging, noxious	PCIC C2 / RAE
deber procesal	noun	procedural duty	legal_juridical	3	5	6	deber procesal — procedural duty (legal obligation in a proceeding)	PCIC C2 / RAE
decadencia	noun	decadence, decline	literary_poetic	0	4	6	decadencia — decadence, decay, decline	PCIC C2 / RAE
declinar	verb	to decline, to wane	formal_administrative	1	4	5	declinar — to decline, to turn down; to wane, to weaken	PCIC C2 / RAE
decretar	verb	to decree	formal_administrative	1	4	5	decretar — to decree, to order by decree	PCIC C2 / RAE
demagogía	noun	demagoguery	economic_political_advanced	7	4	7	demagogía — demagoguery, political rhetoric that appeals to emotions and prejudices	PCIC C2 / RAE
demiurgo	noun	demiurge	philosophical_rhetorical	2	5	8	demiurgo — demiurge, the creator of the universe in Platonic philosophy	PCIC C2 / RAE
denodado	adjective	dauntless, intrepid	literary_poetic	0	5	8	denodado — dauntless, intrepid, undaunted in the face of danger	PCIC C2 / RAE
depauperar	verb	to impoverish, to pauperize	economic_political_advanced	7	5	7	depauperar — to impoverish, to pauperize, to reduce to poverty	PCIC C2 / RAE
depredación	noun	predation, depredation	specialized_scientific	4	4	7	depredación — predation; depredation, plundering	PCIC C2 / RAE
derogación	noun	derogation, repeal	legal_juridical	3	5	6	derogación — derogation, repeal (partial annulment of a law)	PCIC C2 / RAE
desdén	noun	disdain, scorn	literary_poetic	0	4	7	desdén — disdain, scorn, contemptuous indifference	PCIC C2 / RAE
desencanto	noun	disenchantment, disillusion	literary_poetic	0	4	7	desencanto — disenchantment, disillusion, loss of idealism	PCIC C2 / RAE
desiderátum	noun	desideratum, something desired	philosophical_rhetorical	2	5	8	desiderátum — desideratum, something considered necessary or highly desirable	PCIC C2 / RAE
desmembrar	verb	to dismember, to break up	formal_administrative	1	4	6	desmembrar — to dismember, to break up or divide (an organization or body)	PCIC C2 / RAE
desmentir	verb	to deny, to contradict	formal_administrative	1	4	6	desmentir — to deny, to contradict, to give the lie to	PCIC C2 / RAE
despotismo	noun	despotism	economic_political_advanced	7	4	7	despotismo — despotism, tyranny, absolute power	PCIC C2 / RAE
destierro	noun	exile, banishment	literary_poetic	0	4	8	destierro — exile, banishment from one's homeland	PCIC C2 / RAE
desuetud	noun	desuetude, disuse	formal_administrative	1	5	7	desuetud — desuetude, the state of no longer being used or practiced	PCIC C2 / RAE
desvirtuar	verb	to distort, to undermine	formal_administrative	1	4	6	desvirtuar — to distort, to undermine, to misrepresent	PCIC C2 / RAE
detractor	noun	detractor, critic	formal_administrative	1	4	6	detractor — detractor, someone who disparages or speaks against	PCIC C2 / RAE
diatriba	noun	diatribe, tirade	literary_poetic	0	4	8	diatriba — diatribe, tirade, a bitter verbal attack	PCIC C2 / RAE
dicotomía	noun	dichotomy	philosophical_rhetorical	2	4	7	dicotomía — dichotomy, a division into two contradictory parts	PCIC C2 / RAE
diezmado	adjective	decimated, greatly reduced	literary_poetic	0	4	6	diezmado — decimated, greatly reduced in number or strength	PCIC C2 / RAE
diligencia	noun	diligence, expedition (legal)	legal_juridical	3	4	6	diligencia — diligence; also: legal proceeding, official step in a case	PCIC C2 / RAE
dinástico	adjective	dynastic	economic_political_advanced	7	4	6	dinástico — dynastic, of or relating to a dynasty	PCIC C2 / RAE
discernimiento	noun	discernment, judgment	philosophical_rhetorical	2	4	7	discernimiento — discernment, judgment, ability to distinguish	PCIC C2 / RAE
disentir	verb	to dissent, to disagree	formal_administrative	1	4	6	disentir — to dissent, to disagree, to hold a different opinion	PCIC C2 / RAE
disertación	noun	dissertation, disquisition	philosophical_rhetorical	2	4	6	disertación — dissertation, disquisition; formal oral or written treatise	PCIC C2 / RAE
disipar	verb	to dissipate, to dispel	literary_poetic	0	4	7	disipar — to dissipate, to dispel (doubts, clouds, wealth)	PCIC C2 / RAE
disquisición	noun	disquisition	philosophical_rhetorical	2	5	7	disquisición — disquisition, a long formal inquiry or treatise	PCIC C2 / RAE
disuadir	verb	to dissuade, to deter	formal_administrative	1	4	6	disuadir — to dissuade, to deter, to talk out of	PCIC C2 / RAE
divergencia	noun	divergence	philosophical_rhetorical	2	4	6	divergencia — divergence, a difference of opinion or direction	PCIC C2 / RAE
dolo	noun	fraud, deceit, criminal intent	legal_juridical	3	5	8	dolo — fraud, deceit, criminal intent (dolus in law)	PCIC C2 / RAE
dogmatismo	noun	dogmatism	philosophical_rhetorical	2	4	7	dogmatismo — dogmatism, the tendency to state opinions as if they were established facts	PCIC C2 / RAE
efeméride	noun	anniversary, historical event	cultural_arts	8	4	7	efeméride — anniversary of a notable event; a notable historical occurrence	PCIC C2 / RAE
efimero	adjective	ephemeral, fleeting	literary_poetic	0	4	7	efímero — ephemeral, fleeting, short-lived	PCIC C2 / RAE
elocuencia	noun	eloquence	philosophical_rhetorical	2	4	7	elocuencia — eloquence, persuasive and fluent speech	PCIC C2 / RAE
elucidar	verb	to elucidate, to clarify	philosophical_rhetorical	2	4	6	elucidar — to elucidate, to clarify, to explain	PCIC C2 / RAE
emanar	verb	to emanate, to issue from	philosophical_rhetorical	2	4	6	emanar — to emanate, to issue or proceed from a source	PCIC C2 / RAE
embaucar	verb	to dupe, to bamboozle	literary_poetic	0	4	8	embaucar — to dupe, to bamboozle, to deceive through flattery	PCIC C2 / RAE
empírico	adjective	empirical	philosophical_rhetorical	2	4	6	empírico — empirical, based on observation and experiment	PCIC C2 / RAE
