tatoeba_id	grammar_label	french	english	license
9670	present_re_comprendre	Je comprends à peu près.	I sort of understand.	CC BY 2.0
3464	reflexive_sappeler	Je m'appelle Jack.	My name is Jack.	CC BY 2.0
14871	reflexive_sappeler	Je m'appelle Hisashi.	My name is Hisashi.	CC BY 2.0
8095	reflexive_sappeler	Je m'appelle Edgar Degas.	My name is Edgar Degas.	CC BY 2.0
3585	reflexive_se_lever	Je me déshabille.	I'm undressing.	CC BY 2.0
6233	reflexive_se_lever	Je dois me réveiller tôt.	I have to get up early.	CC BY 2.0
6400	article_indefini	J'ai une voiture.	I have a car.	CC BY 2.0
3384	article_indefini	C'est une surprise.	It's a surprise.	CC BY 2.0
7916	article_indefini	J'ai une idée.	I have an idea.	CC BY 2.0
13776	article_indefini	Je mange une pomme.	I am eating an apple.	CC BY 2.0
6734	article_defini	J'étudie l'anglais chez moi.	I study English at home.	CC BY 2.0
3881	article_defini	Je n'aime pas l'école.	I don't like school.	CC BY 2.0
698815	article_partitif	Tu bois du thé.	You drink tea.	CC BY 2.0
14411	article_partitif	Je veux de l'eau.	I want some water.	CC BY 2.0
500272	article_partitif	J'écoute de la musique.	I listen to music.	CC BY 2.0
397346	possessive_mon	C'est mon CD.	It's my CD.	CC BY 2.0
8996	possessive_mon	C'est ton tour.	It's your move.	CC BY 2.0
7696	possessive_son	Mon grand-père aime marcher.	My grandfather likes to walk.	CC BY 2.0
6610	possessive_votre	J'aime votre voiture.	I like your car.	CC BY 2.0
10615	possessive_notre	C'est notre école.	That is our school.	CC BY 2.0
7413	demonstrative_ce	J'adore cette publicité.	I love that commercial.	CC BY 2.0
10476	demonstrative_ce	Regarde cette maison.	Look at that house.	CC BY 2.0
11315	demonstrative_ce	Montez ces escaliers.	Go up these stairs.	CC BY 2.0
7241	demonstrative_ce	J'aime beaucoup ces histoires.	I really like these stories.	CC BY 2.0
389636	demonstrative_ce	J'aime cette chaise.	I love that chair.	CC BY 2.0
7862444	pronom_sujet	Nous sommes sept.	There are seven of us.	CC BY 2.0
8973	pronom_sujet	Et vous ?	How about you?	CC BY 2.0
337034	pronom_sujet_on	On mange pour vivre.	We eat so we can live.	CC BY 2.0
12365	pronom_tonique	C'est moi.	It's me.	CC BY 2.0
10770	pronom_tonique	Bien. Et toi ?	Fine. And you?	CC BY 2.0
14704	pronom_tonique	Moi aussi, j'aime l'anglais.	I like English, too.	CC BY 2.0
12810	pronom_tonique	Fais comme chez toi.	Make yourself at home.	CC BY 2.0
4238	il_y_a	Il n'y a aucun doute.	There's no doubt.	CC BY 2.0
4239	il_y_a	Il n'y a aucune solution.	There isn't any solution.	CC BY 2.0
3297	negation_ne_pas	Je ne parle pas japonais.	I don't speak Japanese.	CC BY 2.0
6369	negation_ne_pas	Je n'ai pas de voiture.	I don't have a car.	CC BY 2.0
562667	negation_ne_pas	Je ne suis pas.	I don't follow.	CC BY 2.0
3474	interrogation_quel	Quelle heure est-il ?	What time is it?	CC BY 2.0
3494	interrogation_quel	Quel âge as-tu ?	What is your age?	CC BY 2.0
334351	interrogation_que	Que fais-tu ?	What are you doing?	CC BY 2.0
3184	interrogation_pourquoi	Pourquoi demandes-tu ?	Why do you ask?	CC BY 2.0
12774	interrogation_pourquoi	Pourquoi pleures-tu ?	Why are you crying?	CC BY 2.0
8742	interrogation_comment	Comment vas-tu ?	What's up?	CC BY 2.0
9001	interrogation_combien	Combien mesures-tu ?	How tall are you?	CC BY 2.0
435865	interrogation_quand	Quand reviendras-tu ?	When will you be back?	CC BY 2.0
13185	interrogation_qui	Qui est-elle ?	Who is she?	CC BY 2.0
3296	futur_proche	Demain, il va alunir.	Tomorrow, he will land on the moon.	CC BY 2.0
4270	futur_proche	Je vais me baigner.	I'm going to take a bath.	CC BY 2.0
10788	futur_proche	Emi va apprendre l'anglais.	Emi will study English.	CC BY 2.0
427710	futur_proche	Tu vas prendre froid.	You will catch cold.	CC BY 2.0
6548	futur_proche	Je vais le faire maintenant.	I will do it right now.	CC BY 2.0
15376	passe_recent	Il vient juste d'arriver.	He has come home just now.	CC BY 2.0
7502	passe_recent	Je viens d'avoir 20 ans.	I have turned 20.	CC BY 2.0
10654	cest_il_est	C'est une belle journée.	It's a beautiful day.	CC BY 2.0
11121	accord_adjectif	Ken est heureux.	Ken is happy.	CC BY 2.0
531744	accord_adjectif	Je suis fatiguée.	I'm tired.	CC BY 2.0
11762	accord_adjectif	Judy est intelligente.	Judy is smart.	CC BY 2.0
575783	accord_adjectif	Tu es beau.	You are beautiful.	CC BY 2.0
575784	accord_adjectif	Tu es belle.	You are beautiful.	CC BY 2.0
7808	preposition_lieu	Viens à la maison.	Come to my house.	CC BY 2.0
12418	preposition_lieu	Posez-le sur la table.	Lay it on the table.	CC BY 2.0
9726	preposition_lieu	Je vis en ville.	I'm living in the city.	CC BY 2.0
